home_elo,away_elo,elo_diff,home_form_5,away_form_5,form_diff,h2h_matches,h2h_home_win_rate,h2h_avg_goals_home,h2h_avg_goals_away,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_goal_diff,away_goal_diff,league_strength,home_win_odds,away_win_odds,implied_home,implied_away,market_margin,draw_odds,implied_draw,result,match_id,match_date
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.36,10.26,0.7352941176470588,0.09746588693957116,0.03601203710695522,4.92,0.2032520325203252,home_win,fd_La Liga_Ath Madrid_Alaves_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.66,5.39,0.6024096385542169,0.1855287569573284,0.0373149541150366,4.01,0.24937655860349128,home_win,fd_La Liga_Girona_Espanol_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.96,2.81,0.33783783783783783,0.35587188612099646,0.03269277480629196,2.95,0.3389830508474576,away_win,fd_La Liga_Las Palmas_Mallorca_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,4.57,1.68,0.2188183807439825,0.5952380952380952,0.03578596600425077,4.51,0.22172949002217296,draw,fd_La Liga_Celta_Barcelona_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,8.24,1.38,0.12135922330097088,0.7246376811594204,0.036836599116879754,5.24,0.19083969465648853,away_win,fd_Serie A_Verona_Inter_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.21,3.63,0.45248868778280543,0.27548209366391185,0.03378117900023403,3.27,0.3058103975535168,draw,fd_Serie A_Milan_Juventus_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,5.17,1.64,0.19342359767891684,0.6097560975609756,0.037371732710618444,4.27,0.234192037470726,away_win,fd_Serie A_Parma_Atalanta_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.69,4.86,0.591715976331361,0.20576131687242796,0.036711742964554483,4.18,0.23923444976076558,home_win,fd_Bundesliga_Dortmund_Freiburg_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,3.49,2.09,0.28653295128939826,0.47846889952153115,0.0352721210811997,3.7,0.27027027027027023,home_win,fd_Bundesliga_Hoffenheim_RB Leipzig_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.19,13.4,0.8403361344537815,0.07462686567164178,0.03887873742406023,8.07,0.12391573729863692,home_win,fd_Bundesliga_Leverkusen_Heidenheim_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.33,7.44,0.7518796992481203,0.13440860215053763,0.04654471165506813,6.24,0.16025641025641024,home_win,fd_Bundesliga_Stuttgart_Bochum_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.37,3.27,0.42194092827004215,0.3058103975535168,0.03262937460404669,3.28,0.3048780487804878,home_win,fd_Bundesliga_Wolfsburg_Union Berlin_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.71,4.59,0.5847953216374269,0.2178649237472767,0.03850930198847724,4.24,0.23584905660377356,home_win,fd_Bundesliga_Ein Frankfurt_Werder Bremen_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.31,3.17,0.4329004329004329,0.31545741324921134,0.03244875524055346,3.52,0.2840909090909091,away_win,fd_Ligue 1_Lens_Marseille_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.38,3.11,0.42016806722689076,0.3215434083601286,0.032409150005624054,3.44,0.29069767441860467,home_win,fd_Ligue 1_St Etienne_Montpellier_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.86,2.39,0.3496503496503497,0.41841004184100417,0.033312380881274306,3.77,0.26525198938992045,draw,fd_Ligue 1_Reims_Lyon_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,7.05,1.46,0.14184397163120568,0.684931506849315,0.03598049940102266,4.78,0.20920502092050208,away_win,fd_Premier League_Leicester_Chelsea_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.38,8.73,0.7246376811594204,0.1145475372279496,0.037992375445023985,5.03,0.19880715705765406,home_win,fd_Premier League_Arsenal_Nott'm Forest_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.63,5.59,0.6134969325153374,0.17889087656529518,0.03869322779984463,4.06,0.24630541871921185,draw,fd_Premier League_Aston Villa_Crystal Palace_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.42,2.91,0.4132231404958678,0.3436426116838488,0.03310884610236853,3.62,0.27624309392265195,away_win,fd_Premier League_Bournemouth_Brighton_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.5,2.97,0.4,0.33670033670033667,0.03255832486601706,3.38,0.2958579881656805,draw,fd_Premier League_Everton_Brentford_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.64,5.43,0.6097560975609756,0.1841620626151013,0.03722716260916692,4.11,0.24330900243309,away_win,fd_Premier League_Fulham_Wolves_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.48,6.13,0.6756756756756757,0.1631321370309951,0.039611025558076385,4.98,0.2008032128514056,away_win,fd_Premier League_Man City_Tottenham_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.98,2.67,0.33557046979865773,0.37453183520599254,0.03372690047390581,3.09,0.3236245954692557,home_win,fd_La Liga_Valencia_Betis_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.36,10.26,0.7352941176470588,0.09746588693957116,0.03601203710695522,4.92,0.2032520325203252,home_win,fd_La Liga_Ath Madrid_Alaves_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.66,5.39,0.6024096385542169,0.1855287569573284,0.0373149541150366,4.01,0.24937655860349128,home_win,fd_La Liga_Girona_Espanol_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.96,2.81,0.33783783783783783,0.35587188612099646,0.03269277480629196,2.95,0.3389830508474576,away_win,fd_La Liga_Las Palmas_Mallorca_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,4.57,1.68,0.2188183807439825,0.5952380952380952,0.03578596600425077,4.51,0.22172949002217296,draw,fd_La Liga_Celta_Barcelona_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,8.24,1.38,0.12135922330097088,0.7246376811594204,0.036836599116879754,5.24,0.19083969465648853,away_win,fd_Serie A_Verona_Inter_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,2.21,3.63,0.45248868778280543,0.27548209366391185,0.03378117900023403,3.27,0.3058103975535168,draw,fd_Serie A_Milan_Juventus_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,5.17,1.64,0.19342359767891684,0.6097560975609756,0.037371732710618444,4.27,0.234192037470726,away_win,fd_Serie A_Parma_Atalanta_20241123,2024-11-23T00:00:00
1500.0,1500.0,0.0,0.5,0.5,0.0,0,0.33,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1500.0,1.69,4.86,0.591715976331361,0.20576131687242796,0.036711742964554483,4.18,0.23923444976076558,home_win,fd_Bundesliga_Dortmund_Freiburg_20241123,2024-11-23T00:00:00
